"seasonal","trend","remainder","date"
2420.34024541623,10608.733186823,-9758.07343223926,2020-09-19
-4442.10523641906,10649.5579147819,-2665.45267836287,2020-09-20
-2380.77956464368,10690.3826427408,-4152.60307809715,2020-09-21
-2089.47329282349,10731.2073706997,-4824.73407787625,2020-09-22
-655.860523328672,10772.0320986586,-6050.17157532996,2020-09-23
646.954113934039,10812.8568266175,-7226.81094055157,2020-09-24
6500.92426783209,10853.6815545764,-13963.6058224085,2020-09-25
2420.34024541623,10894.5062825353,-9900.84652795156,2020-09-26
-4442.10523641906,10935.3310104942,-3097.22577407518,2020-09-27
-2380.77956464368,10976.1557384531,-3925.37617380946,2020-09-28
-2089.47329282349,11016.980466412,-4045.50717358855,2020-09-29
-655.860523328672,11057.8051943709,-5885.94467104227,2020-09-30
646.954113934039,11098.6299223298,-6772.58403626388,2020-10-01
6500.92426783209,11139.4546502887,-12253.3789181208,2020-10-02
2420.34024541623,11180.2793782476,-9188.61962366387,2020-10-03
-4442.10523641906,11221.1041062065,-3343.99886978748,2020-10-04
-2380.77956464368,11261.9288341654,-4612.14926952176,2020-10-05
-2089.47329282349,11302.7535621243,-5029.28026930086,2020-10-06
-655.860523328672,11343.5782900832,-6284.71776675457,2020-10-07
646.954113934039,11384.4030180421,-7704.35713197618,2020-10-08
6500.92426783209,11425.227746001,-13090.1520138331,2020-10-09
2420.34024541623,11466.0524739599,-9220.39271937617,2020-10-10
-4442.10523641906,11506.8772019188,-3122.77196549979,2020-10-11
-2380.77956464368,11554.7530311228,-3921.9734664791,2020-10-12
-2089.47329282349,11602.6288603267,-4749.15556750323,2020-10-13
-655.860523328672,11650.5046895306,-5662.64416620198,2020-10-14
646.954113934039,11698.3805187346,-7815.33463266862,2020-10-15
6500.92426783209,11746.2563479385,-13303.1806157706,2020-10-16
2420.34024541623,11794.1321771424,-10013.4724225587,2020-10-17
-4442.10523641906,11842.0080063464,-3480.90276992732,2020-10-18
-2380.77956464368,11889.8838355503,-3052.10427090663,2020-10-19
-2089.47329282349,11937.7596647542,-2991.28637193076,2020-10-20
-655.860523328672,11985.6354939582,-4758.77497062951,2020-10-21
646.954113934039,12033.5113231621,-5389.46543709615,2020-10-22
6500.92426783209,12081.387152366,-11775.3114201981,2020-10-23
2420.34024541623,12129.26298157,-9570.60322698621,2020-10-24
-4442.10523641906,12177.1388107739,-2056.03357435485,2020-10-25
-2380.77956464368,12225.0146399778,-3367.23507533416,2020-10-26
-2089.47329282349,12272.8904691818,-3410.41717635829,2020-10-27
-655.860523328672,12320.7662983857,2982.09422494296,2020-10-28
646.954113934039,12368.6421275896,-479.596241523685,2020-10-29
6500.92426783209,12416.5179567936,-4406.44222462567,2020-10-30
2420.34024541623,12464.3937859975,1764.26596858626,2020-10-31
-4442.10523641906,12512.2696152014,6388.83562121762,2020-11-01
-2380.77956464368,12560.1454444054,6443.6341202383,2020-11-02
-2089.47329282349,12608.0212736093,1916.45201921417,2020-11-03
-655.860523328672,12655.8971028132,-1934.03657948457,2020-11-04
646.954113934039,12703.7729320172,-1146.72704595122,2020-11-05
6500.92426783209,12751.6487612211,-5070.5730290532,2020-11-06
2420.34024541623,12799.524590425,2469.13516415873,2020-11-07
-4442.10523641906,12847.400419629,5946.70481679008,2020-11-08
-2380.77956464368,12895.2762488329,2728.50331581077,2020-11-09
-2089.47329282349,12943.1520780368,2260.32121478664,2020-11-10
-655.860523328672,12991.0279072408,-529.167383912105,2020-11-11
646.954113934039,13038.9037364447,376.14214962125,2020-11-12
6500.92426783209,13086.7795656486,-2449.70383348073,2020-11-13
2420.34024541623,13134.6553948526,6319.0043597312,2020-11-14
-4442.10523641906,13182.5312240565,5318.57401236255,2020-11-15
-2380.77956464368,13230.4070532604,2462.37251138324,2020-11-16
-2089.47329282349,13278.2828824644,3211.19041035911,2020-11-17
-655.860523328672,13345.7582300834,2620.10229324525,2020-11-18
646.954113934039,13413.2335777025,184.8123083635,2020-11-19
6500.92426783209,13480.7089253215,27.3668068464121,2020-11-20
2420.34024541623,13548.1842729405,7892.47548164323,2020-11-21
-4442.10523641906,13615.6596205596,6148.44561585948,2020-11-22
